"","words","pos","stemmed","type","stems","postag","pattern"
"1","abandon","verb","y","weaksubj","abandon","_vb","^abandon[a-z]*_vb"
"2","abase","verb","y","strongsubj","abas","_vb","^abas[a-z]*_vb"
"3","abash","verb","y","strongsubj","abash","_vb","^abash[a-z]*_vb"
"4","abate","verb","y","weaksubj","abat","_vb","^abat[a-z]*_vb"
"5","abdicate","verb","y","weaksubj","abdicat","_vb","^abdicat[a-z]*_vb"
"6","abhor","verb","y","strongsubj","abhor","_vb","^abhor[a-z]*_vb"
"7","abjure","verb","y","weaksubj","abjur","_vb","^abjur[a-z]*_vb"
"8","abolish","verb","y","weaksubj","abolish","_vb","^abolish[a-z]*_vb"
"9","abominate","verb","y","strongsubj","abominat","_vb","^abominat[a-z]*_vb"
"10","abrade","verb","y","weaksubj","abrad","_vb","^abrad[a-z]*_vb"
"11","abscond","verb","y","strongsubj","abscond","_vb","^abscond[a-z]*_vb"
"12","abuse","verb","y","strongsubj","abus","_vb","^abus[a-z]*_vb"
"13","accost","verb","y","weaksubj","accost","_vb","^accost[a-z]*_vb"
"14","accuse","verb","y","strongsubj","accus","_vb","^accus[a-z]*_vb"
"15","acerbate","verb","y","strongsubj","acerbat","_vb","^acerbat[a-z]*_vb"
"16","ache","verb","y","strongsubj","ach","_vb","^ach[a-z]*_vb"
"17","admonish","verb","y","strongsubj","admonish","_vb","^admonish[a-z]*_vb"
"18","adulterate","verb","y","strongsubj","adulterat","_vb","^adulterat[a-z]*_vb"
"19","adversary","noun","y","weaksubj","adversar","_nn","^adversar[a-z]*_vb"
"20","afflict","verb","y","weaksubj","afflict","_vb","^afflict[a-z]*_vb"
"21","affront","verb","y","strongsubj","affront","_vb","^affront[a-z]*_vb"
"22","aggravate","verb","y","strongsubj","aggravat","_vb","^aggravat[a-z]*_vb"
"23","aggrieve","verb","y","strongsubj","aggriev","_vb","^aggriev[a-z]*_vb"
"24","agitate","verb","y","strongsubj","agit","_vb","^agit[a-z]*_vb"
"25","agonize","verb","y","strongsubj","agoni","_vb","^agoni[a-z]*_vb"
"26","ail","verb","y","weaksubj","ail","_vb","^ail[a-z]*_vb"
"27","alarm","verb","y","weaksubj","alarm","_vb","^alarm[a-z]*_vb"
"28","alienate","verb","y","weaksubj","alienat","_vb","^alienat[a-z]*_vb"
"29","ambush","verb","y","weaksubj","ambush","_vb","^ambush[a-z]*_vb"
"30","amputate","verb","y","weaksubj","aputat","_vb","^aputat[a-z]*_vb"
"31","anger","verb","y","strongsubj","anger","_vb","^anger[a-z]*_vb"
"32","anguish","verb","y","strongsubj","anguish","_vb","^anguish[a-z]*_vb"
"33","annihilate","verb","y","strongsubj","annihilat","_vb","^annihilat[a-z]*_vb"
"34","annoy","verb","y","strongsubj","annoy","_vb","^annoy[a-z]*_vb"
"35","antagonize","verb","y","strongsubj","antagoni","_vb","^antagoni[a-z]*_vb"
"36","aping","verb","y","strongsubj","aping","_vb","^aping[a-z]*_vb"
"37","ape","verb","y","strongsubj","ape","_vb","^ape[a-z]*_vb"
"38","appal","verb","y","strongsubj","appal","_vb","^appal[a-z]*_vb"
"39","appall","verb","y","strongsubj","appall","_vb","^appall[a-z]*_vb"
"40","argue","verb","y","strongsubj","argu","_vb","^argu[a-z]*_vb"
"41","asperse","verb","y","strongsubj","aspers","_vb","^aspers[a-z]*_vb"
"42","assail","verb","y","weaksubj","assail","_vb","^assail[a-z]*_vb"
"43","assassinate","verb","y","weaksubj","assassinat","_vb","^assassinat[a-z]*_vb"
"44","atrophy","verb","y","weaksubj","atrophy","_vb","^atrophy[a-z]*_vb"
"45","atrophy","verb","y","strongsubj","atrophi","_vb","^atrophi[a-z]*_vb"
"46","attack","verb","y","weaksubj","attack","_vb","^attack[a-z]*_vb"
"47","avenge","verb","y","strongsubj","aveng","_vb","^aveng[a-z]*_vb"
"48","avoid","verb","y","weaksubj","avoid","_vb","^avoid[a-z]*_vb"
"49","ax","verb","y","strongsubj","ax","_vb","^ax[a-z]*_vb"
"50","babble","verb","y","strongsubj","babbl","_vb","^babbl[a-z]*_vb"
"51","backbite","verb","y","strongsubj","backbit","_vb","^backbit[a-z]*_vb"
"52","baffle","verb","y","strongsubj","baffl","_vb","^baffl[a-z]*_vb"
"53","bait","verb","y","strongsubj","bait","_vb","^bait[a-z]*_vb"
"54","balk","verb","y","strongsubj","balk","_vb","^balk[a-z]*_vb"
"55","banalize","verb","y","strongsubj","banali","_vb","^banali[a-z]*_vb"
"56","banish","verb","y","strongsubj","banish","_vb","^banish[a-z]*_vb"
"57","bankrupt","verb","y","weaksubj","bankrupt","_vb","^bankrupt[a-z]*_vb"
"58","bar","verb","y","weaksubj","bar","_vb","^bar[a-z]*_vb"
"59","battle","verb","y","weaksubj","battl","_vb","^battl[a-z]*_vb"
"60","befoul","verb","y","strongsubj","befoul","_vb","^befoul[a-z]*_vb"
"61","beg","verb","y","strongsubj","beg","_vb","^beg[a-z]*_vb"
"62","beguile","verb","y","strongsubj","beguil","_vb","^beguil[a-z]*_vb"
"63","belabor","verb","y","strongsubj","belabor","_vb","^belabor[a-z]*_vb"
"64","beleaguer","verb","y","strongsubj","beleagu","_vb","^beleagu[a-z]*_vb"
"65","belying","verb","y","strongsubj","belying","_vb","^belying[a-z]*_vb"
"66","belie","verb","y","strongsubj","beli","_vb","^beli[a-z]*_vb"
"67","belittle","verb","y","strongsubj","belittl","_vb","^belittl[a-z]*_vb"
"68","bemoan","verb","y","strongsubj","bemoan","_vb","^bemoan[a-z]*_vb"
"69","berate","verb","y","strongsubj","berat","_vb","^berat[a-z]*_vb"
"70","bereave","verb","y","strongsubj","bereav","_vb","^bereav[a-z]*_vb"
"71","beseech","verb","y","strongsubj","beseech","_vb","^beseech[a-z]*_vb"
"72","besiege","verb","y","weaksubj","besieg","_vb","^besieg[a-z]*_vb"
"73","besmirch","verb","y","strongsubj","besmirch","_vb","^besmirch[a-z]*_vb"
"74","betraying","verb","a","strongsubj","betraying","_vb","^betraying[a-z]*_vb"
"75","betray","verb","y","strongsubj","betrai","_vb","^betrai[a-z]*_vb"
"76","bewail","verb","y","strongsubj","bewail","_vb","^bewail[a-z]*_vb"
"77","beware","verb","y","weaksubj","bewar","_vb","^bewar[a-z]*_vb"
"78","bewilder","verb","y","strongsubj","bewild","_vb","^bewild[a-z]*_vb"
"79","bewitch","verb","y","strongsubj","bewitch","_vb","^bewitch[a-z]*_vb"
"80","bias","verb","y","strongsubj","bias","_vb","^bias[a-z]*_vb"
"81","bicker","verb","y","strongsubj","bicker","_vb","^bicker[a-z]*_vb"
"82","bitch","verb","y","strongsubj","bitch","_vb","^bitch[a-z]*_vb"
"83","blab","verb","y","strongsubj","blab","_vb","^blab[a-z]*_vb"
"84","blabber","verb","y","strongsubj","blabber","_vb","^blabber[a-z]*_vb"
"85","blackmail","verb","y","weaksubj","blackmail","_vb","^blackmail[a-z]*_vb"
"86","blaming","verb","y","weaksubj","blaming","_vb","^blaming[a-z]*_vb"
"87","blame","verb","y","strongsubj","blame","_vb","^blame[a-z]*_vb"
"88","blandish","verb","y","strongsubj","blandish","_vb","^blandish[a-z]*_vb"
"89","blaspheme","verb","y","strongsubj","blasphem","_vb","^blasphem[a-z]*_vb"
"90","blather","verb","y","strongsubj","blather","_vb","^blather[a-z]*_vb"
"91","bleed","verb","y","weaksubj","bleed","_vb","^bleed[a-z]*_vb"
"92","blemish","verb","y","weaksubj","blemish","_vb","^blemish[a-z]*_vb"
"93","blindside","verb","y","strongsubj","blindsid","_vb","^blindsid[a-z]*_vb"
"94","blister","verb","y","strongsubj","blister","_vb","^blister[a-z]*_vb"
"95","block","verb","y","weaksubj","block","_vb","^block[a-z]*_vb"
"96","blur","verb","y","weaksubj","blur","_vb","^blur[a-z]*_vb"
"97","blurt","verb","y","strongsubj","blurt","_vb","^blurt[a-z]*_vb"
"98","boast","verb","y","strongsubj","boast","_vb","^boast[a-z]*_vb"
"99","boggle","verb","y","strongsubj","boggl","_vb","^boggl[a-z]*_vb"
"100","boil","verb","y","strongsubj","boil","_vb","^boil[a-z]*_vb"
"101","bombard","verb","y","weaksubj","bombard","_vb","^bombard[a-z]*_vb"
"102","bomb","verb","y","weaksubj","bomb","_vb","^bomb[a-z]*_vb"
"103","boring","verb","y","weaksubj","boring","_vb","^boring[a-z]*_vb"
"104","bore","verb","y","strongsubj","bore","_vb","^bore[a-z]*_vb"
"105","botch","verb","y","strongsubj","botch","_vb","^botch[a-z]*_vb"
"106","bother","verb","y","strongsubj","bother","_vb","^bother[a-z]*_vb"
"107","bowdlerize","verb","y","strongsubj","bowdleri","_vb","^bowdleri[a-z]*_vb"
"108","brainwash","verb","y","strongsubj","brainwash","_vb","^brainwash[a-z]*_vb"
"109","break","verb","y","weaksubj","break","_vb","^break[a-z]*_vb"
"110","breakdown","verb","y","weaksubj","breakdown","_vb","^breakdown[a-z]*_vb"
"111","bristle","verb","y","strongsubj","bristl","_vb","^bristl[a-z]*_vb"
"112","brood","verb","y","strongsubj","brood","_vb","^brood[a-z]*_vb"
"113","browbeat","verb","y","strongsubj","browbeat","_vb","^browbeat[a-z]*_vb"
"114","brutalize","verb","y","strongsubj","brutal","_vb","^brutal[a-z]*_vb"
"115","bug","verb","y","weaksubj","bug","_vb","^bug[a-z]*_vb"
"116","buckle","verb","y","weaksubj","buckl","_vb","^buckl[a-z]*_vb"
"117","bungle","verb","y","strongsubj","bungl","_vb","^bungl[a-z]*_vb"
"118","burn","verb","y","strongsubj","burn","_vb","^burn[a-z]*_vb"
"119","butcher","verb","y","weaksubj","butcher","_vb","^butcher[a-z]*_vb"
"120","cackle","verb","y","strongsubj","cackl","_vb","^cackl[a-z]*_vb"
"121","cajole","verb","y","strongsubj","cajol","_vb","^cajol[a-z]*_vb"
"122","calumniate","verb","y","strongsubj","calumni","_vb","^calumni[a-z]*_vb"
"123","cannibalize","verb","y","strongsubj","cannib","_vb","^cannib[a-z]*_vb"
"124","capitulate","verb","y","weaksubj","capitulat","_vb","^capitulat[a-z]*_vb"
"125","capsize","verb","y","weaksubj","capsiz","_vb","^capsiz[a-z]*_vb"
"126","caricature","verb","y","strongsubj","caricatur","_vb","^caricatur[a-z]*_vb"
"127","carp","verb","y","strongsubj","carp","_vb","^carp[a-z]*_vb"
"128","castigate","verb","y","strongsubj","castigat","_vb","^castigat[a-z]*_vb"
"129","casualties","noun","y","weaksubj","casualties","_nn","^casualties[a-z]*_vb"
"130","casualty","noun","y","weaksubj","casualty","_nn","^casualty[a-z]*_vb"
"131","cave","verb","y","weaksubj","cave","_vb","^cave[a-z]*_vb"
"132","censure","verb","y","strongsubj","censur","_vb","^censur[a-z]*_vb"
"133","chafe","verb","y","strongsubj","chafe","_vb","^chafe[a-z]*_vb"
"134","chaff","verb","y","strongsubj","chaff","_vb","^chaff[a-z]*_vb"
"135","chagrin","verb","y","strongsubj","chagrin","_vb","^chagrin[a-z]*_vb"
"136","challenge","verb","y","weaksubj","challeng","_vb","^challeng[a-z]*_vb"
"137","chasten","verb","y","strongsubj","chasten","_vb","^chasten[a-z]*_vb"
"138","chastise","verb","y","strongsubj","chastis","_vb","^chastis[a-z]*_vb"
"139","chatter","verb","y","strongsubj","chatter","_vb","^chatter[a-z]*_vb"
"140","cheapen","verb","y","strongsubj","cheapen","_vb","^cheapen[a-z]*_vb"
"141","cheat","verb","y","strongsubj","cheat","_vb","^cheat[a-z]*_vb"
"142","chiding","verb","y","strongsubj","chiding","_vb","^chiding[a-z]*_vb"
"143","chide","verb","y","strongsubj","chide","_vb","^chide[a-z]*_vb"
"144","chill","verb","y","weaksubj","chill","_vb","^chill[a-z]*_vb"
"145","choking","verb","y","weaksubj","choking","_vb","^choking[a-z]*_vb"
"146","choke","verb","y","weaksubj","choke","_vb","^choke[a-z]*_vb"
"147","clog","verb","y","weaksubj","clog","_vb","^clog[a-z]*_vb"
"148","cloud","verb","y","strongsubj","cloud","_vb","^cloud[a-z]*_vb"
"149","coerce","verb","y","strongsubj","coerc","_vb","^coerc[a-z]*_vb"
"150","collapse","verb","y","weaksubj","collaps","_vb","^collaps[a-z]*_vb"
"151","collide","verb","y","weaksubj","collid","_vb","^collid[a-z]*_vb"
"152","collude","verb","y","strongsubj","collud","_vb","^collud[a-z]*_vb"
"153","commiserate","verb","y","strongsubj","commiserat","_vb","^commiserat[a-z]*_vb"
"154","compel","verb","y","strongsubj","compel","_vb","^compel[a-z]*_vb"
"155","complain","verb","y","strongsubj","complain","_vb","^complain[a-z]*_vb"
"156","complicate","verb","y","weaksubj","complicat","_vb","^complicat[a-z]*_vb"
"157","concede","verb","y","strongsubj","conced","_vb","^conced[a-z]*_vb"
"158","concern","verb","y","weaksubj","concern","_vb","^concern[a-z]*_vb"
"159","condescend","verb","y","strongsubj","condescend","_vb","^condescend[a-z]*_vb"
"160","condemn","verb","y","strongsubj","condemn","_vb","^condemn[a-z]*_vb"
"161","confess","verb","y","strongsubj","confess","_vb","^confess[a-z]*_vb"
"162","confound","verb","y","weaksubj","confound","_vb","^confound[a-z]*_vb"
"163","confront","verb","y","weaksubj","confront","_vb","^confront[a-z]*_vb"
"164","confuse","verb","y","strongsubj","confus","_vb","^confus[a-z]*_vb"
"165","conspire","verb","y","strongsubj","conspir","_vb","^conspir[a-z]*_vb"
"166","constrain","verb","y","weaksubj","constrain","_vb","^constrain[a-z]*_vb"
"167","consume","verb","y","weaksubj","consum","_vb","^consum[a-z]*_vb"
"168","contaminate","verb","y","weaksubj","contaminat","_vb","^contaminat[a-z]*_vb"
"169","contend","verb","y","strongsubj","contend","_vb","^contend[a-z]*_vb"
"170","contort","verb","y","strongsubj","contort","_vb","^contort[a-z]*_vb"
"171","contradict","verb","y","strongsubj","contradict","_vb","^contradict[a-z]*_vb"
"172","contravene","verb","y","strongsubj","contraven","_vb","^contraven[a-z]*_vb"
"173","contrive","verb","y","strongsubj","contriv","_vb","^contriv[a-z]*_vb"
"174","corrode","verb","y","weaksubj","corrod","_vb","^corrod[a-z]*_vb"
"175","corrupt","verb","y","strongsubj","corrupt","_vb","^corrupt[a-z]*_vb"
"176","cow","verb","y","weaksubj","cow","_vb","^cow[a-z]*_vb"
"177","cringe","verb","y","strongsubj","cring","_vb","^cring[a-z]*_vb"
"178","cripple","verb","y","strongsubj","crippl","_vb","^crippl[a-z]*_vb"
"179","criticize","verb","y","strongsubj","critici","_vb","^critici[a-z]*_vb"
"180","crumble","verb","y","weaksubj","crumbl","_vb","^crumbl[a-z]*_vb"
"181","crumple","verb","y","weaksubj","crumpl","_vb","^crumpl[a-z]*_vb"
"182","crush","verb","y","weaksubj","crush","_vb","^crush[a-z]*_vb"
"183","cry","verb","y","strongsubj","crie","_vb","^crie[a-z]*_vb"
"184","cry","verb","y","strongsubj","cry","_vb","^cry[a-z]*_vb"
"185","curse","verb","y","strongsubj","curs","_vb","^curs[a-z]*_vb"
"186","cuss","verb","y","strongsubj","cuss","_vb","^cuss[a-z]*_vb"
"187","cut","verb","y","weaksubj","cut","_vb","^cut[a-z]*_vb"
"188","damn","verb","y","strongsubj","damn","_vb","^damn[a-z]*_vb"
"189","dangle","verb","y","strongsubj","dangl","_vb","^dangl[a-z]*_vb"
"190","darken","verb","y","weaksubj","darken","_vb","^darken[a-z]*_vb"
"191","dash","verb","y","weaksubj","dash","_vb","^dash[a-z]*_vb"
"192","daunt","verb","y","strongsubj","daunt","_vb","^daunt[a-z]*_vb"
"193","dawdle","verb","y","strongsubj","dawdl","_vb","^dawdl[a-z]*_vb"
"194","dazing","verb","y","strongsubj","dazing","_vb","^dazing[a-z]*_vb"
"195","daze","verb","y","strongsubj","daze","_vb","^daze[a-z]*_vb"
"196","deadlock","verb","y","strongsubj","deadlock","_vb","^deadlock[a-z]*_vb"
"197","debase","verb","y","strongsubj","debas","_vb","^debas[a-z]*_vb"
"198","debate","verb","y","strongsubj","debat","_vb","^debat[a-z]*_vb"
"199","debauch","verb","y","strongsubj","debauch","_vb","^debauch[a-z]*_vb"
"200","debilitate","verb","y","weaksubj","debilitat","_vb","^debilitat[a-z]*_vb"
"201","decay","verb","y","strongsubj","decay","_vb","^decay[a-z]*_vb"
"202","deceive","verb","y","strongsubj","deceiv","_vb","^deceiv[a-z]*_vb"
"203","declaim","verb","y","strongsubj","declaim","_vb","^declaim[a-z]*_vb"
"204","decline","verb","y","weaksubj","declin","_vb","^declin[a-z]*_vb"
"205","decrease","verb","y","weaksubj","decreas","_vb","^decreas[a-z]*_vb"
"206","decry","verb","y","strongsubj","decrie","_vb","^decrie[a-z]*_vb"
"207","decry","verb","y","strongsubj","decry","_vb","^decry[a-z]*_vb"
"208","defame","verb","y","strongsubj","defam","_vb","^defam[a-z]*_vb"
"209","defeat","verb","y","weaksubj","defeat","_vb","^defeat[a-z]*_vb"
"210","defile","verb","y","strongsubj","defil","_vb","^defil[a-z]*_vb"
"211","deform","verb","y","weaksubj","deform","_vb","^deform[a-z]*_vb"
"212","defy","verb","y","strongsubj","defy","_vb","^defy[a-z]*_vb"
"213","defy","verb","y","strongsubj","defi","_vb","^defi[a-z]*_vb"
"214","degenerate","verb","y","strongsubj","degenerat","_vb","^degenerat[a-z]*_vb"
"215","degrade","verb","y","strongsubj","degrad","_vb","^degrad[a-z]*_vb"
"216","dehumanize","verb","y","strongsubj","dehumani","_vb","^dehumani[a-z]*_vb"
"217","deign","verb","y","strongsubj","deign","_vb","^deign[a-z]*_vb"
"218","deject","verb","y","strongsubj","deject","_vb","^deject[a-z]*_vb"
"219","delude","verb","y","strongsubj","delud","_vb","^delud[a-z]*_vb"
"220","demean","verb","y","strongsubj","demean","_vb","^demean[a-z]*_vb"
"221","demolish","verb","y","weaksubj","demolish","_vb","^demolish[a-z]*_vb"
"222","demonize","verb","y","strongsubj","demoni","_vb","^demoni[a-z]*_vb"
"223","demoralize","verb","y","strongsubj","demorali","_vb","^demorali[a-z]*_vb"
"224","denigrate","verb","y","strongsubj","denigrat","_vb","^denigrat[a-z]*_vb"
"225","deny","verb","y","strongsubj","deny","_vb","^deny[a-z]*_vb"
"226","deny","verb","y","strongsubj","deni","_vb","^deni[a-z]*_vb"
"227","denounce","verb","y","strongsubj","denounc","_vb","^denounc[a-z]*_vb"
"228","denunciate","verb","y","strongsubj","denunciat","_vb","^denunciat[a-z]*_vb"
"229","deplete","verb","y","weaksubj","deplet","_vb","^deplet[a-z]*_vb"
"230","deplore","verb","y","strongsubj","deplor","_vb","^deplor[a-z]*_vb"
"231","deprave","verb","y","strongsubj","deprav","_vb","^deprav[a-z]*_vb"
"232","deprecate","verb","y","strongsubj","deprecat","_vb","^deprecat[a-z]*_vb"
"233","depress","verb","y","weaksubj","depress","_vb","^depress[a-z]*_vb"
"234","deprive","verb","y","strongsubj","depriv","_vb","^depriv[a-z]*_vb"
"235","deride","verb","y","strongsubj","derid","_vb","^derid[a-z]*_vb"
"236","desecrate","verb","y","strongsubj","desecrat","_vb","^desecrat[a-z]*_vb"
"237","desert","verb","y","strongsubj","desert","_vb","^desert[a-z]*_vb"
"238","despair","verb","y","strongsubj","despair","_vb","^despair[a-z]*_vb"
"239","despise","verb","y","strongsubj","despis","_vb","^despis[a-z]*_vb"
"240","despoil","verb","y","strongsubj","despoil","_vb","^despoil[a-z]*_vb"
"241","destroy","verb","y","weaksubj","destroy","_vb","^destroy[a-z]*_vb"
"242","deter","verb","y","weaksubj","deter","_vb","^deter[a-z]*_vb"
"243","detest","verb","y","strongsubj","detest","_vb","^detest[a-z]*_vb"
"244","detract","verb","y","weaksubj","detract","_vb","^detract[a-z]*_vb"
"245","deviate","verb","y","weaksubj","deviat","_vb","^deviat[a-z]*_vb"
"246","differ","verb","y","weaksubj","differ","_vb","^differ[a-z]*_vb"
"247","digress","verb","y","strongsubj","digress","_vb","^digress[a-z]*_vb"
"248","dilly-dally","verb","y","strongsubj","dilly-dalli","_vb","^dilly-dalli[a-z]*_vb"
"249","dilly-dally","verb","y","strongsubj","dilly-dally","_vb","^dilly-dally[a-z]*_vb"
"250","diminish","verb","y","weaksubj","diminish","_vb","^diminish[a-z]*_vb"
"251","disable","verb","y","weaksubj","disabl","_vb","^disabl[a-z]*_vb"
"252","disaffect","verb","y","strongsubj","disaffect","_vb","^disaffect[a-z]*_vb"
"253","disaffirm","verb","y","strongsubj","disaffirm","_vb","^disaffirm[a-z]*_vb"
"254","disagree","verb","y","strongsubj","disagree","_vb","^disagree[a-z]*_vb"
"255","disallow","verb","y","strongsubj","disallow","_vb","^disallow[a-z]*_vb"
"256","disappoint","verb","y","strongsubj","disappoint","_vb","^disappoint[a-z]*_vb"
"257","disarm","verb","y","weaksubj","disarm","_vb","^disarm[a-z]*_vb"
"258","disavow","verb","y","strongsubj","disavow","_vb","^disavow[a-z]*_vb"
"259","disbelieve","verb","y","strongsubj","disbeliev","_vb","^disbeliev[a-z]*_vb"
"260","disclaim","verb","y","strongsubj","disclaim","_vb","^disclaim[a-z]*_vb"
"261","discombobulate","verb","y","strongsubj","discombobulat","_vb","^discombobulat[a-z]*_vb"
"262","discomfit","verb","y","strongsubj","discomfit","_vb","^discomfit[a-z]*_vb"
"263","discompose","verb","y","weaksubj","discompos","_vb","^discompos[a-z]*_vb"
"264","disconcert","verb","y","strongsubj","disconcert","_vb","^disconcert[a-z]*_vb"
"265","discourage","verb","y","strongsubj","discourag","_vb","^discourag[a-z]*_vb"
"266","discredit","verb","y","strongsubj","discredit","_vb","^discredit[a-z]*_vb"
"267","discriminate","verb","y","weaksubj","discriminat","_vb","^discriminat[a-z]*_vb"
"268","disdain","verb","y","strongsubj","disdain","_vb","^disdain[a-z]*_vb"
"269","disfavor","verb","y","strongsubj","disfavor","_vb","^disfavor[a-z]*_vb"
"270","disgrace","verb","y","strongsubj","disgrac","_vb","^disgrac[a-z]*_vb"
"271","disgruntle","verb","y","strongsubj","disgruntl","_vb","^disgruntl[a-z]*_vb"
"272","disgust","verb","y","strongsubj","disgust","_vb","^disgust[a-z]*_vb"
"273","dishearten","verb","y","strongsubj","dishearten","_vb","^dishearten[a-z]*_vb"
"274","dishonor","verb","y","strongsubj","dishonor","_vb","^dishonor[a-z]*_vb"
"275","disillusion","verb","y","strongsubj","disillusion","_vb","^disillusion[a-z]*_vb"
"276","disintegrate","verb","y","weaksubj","disintegrat","_vb","^disintegrat[a-z]*_vb"
"277","dislike","verb","y","strongsubj","dislik","_vb","^dislik[a-z]*_vb"
"278","dismay","verb","y","strongsubj","dismay","_vb","^dismay[a-z]*_vb"
"279","dismay","verb","y","strongsubj","dismai","_vb","^dismai[a-z]*_vb"
"280","disobey","verb","y","strongsubj","disobey","_vb","^disobey[a-z]*_vb"
"281","disobey","verb","y","strongsubj","disobei","_vb","^disobei[a-z]*_vb"
"282","disown","verb","y","strongsubj","disown","_vb","^disown[a-z]*_vb"
"283","disorder","verb","y","weaksubj","disord","_vb","^disord[a-z]*_vb"
"284","disorient","verb","y","strongsubj","disorient","_vb","^disorient[a-z]*_vb"
"285","disown","verb","y","strongsubj","disown","_vb","^disown[a-z]*_vb"
"286","disparage","verb","y","strongsubj","disparag","_vb","^disparag[a-z]*_vb"
"287","dispirit","verb","y","strongsubj","dispirit","_vb","^dispirit[a-z]*_vb"
"288","displace","verb","y","weaksubj","displac","_vb","^displac[a-z]*_vb"
"289","displease","verb","y","strongsubj","displeas","_vb","^displeas[a-z]*_vb"
"290","disprove","verb","y","strongsubj","disprov","_vb","^disprov[a-z]*_vb"
"291","dispute","verb","y","strongsubj","disput","_vb","^disput[a-z]*_vb"
"292","disquiet","verb","y","strongsubj","disquiet","_vb","^disquiet[a-z]*_vb"
"293","disrespect","verb","y","strongsubj","disrespect","_vb","^disrespect[a-z]*_vb"
"294","disrupt","verb","y","strongsubj","disrupt","_vb","^disrupt[a-z]*_vb"
"295","dissatisfy","verb","y","strongsubj","dissatisfi","_vb","^dissatisfi[a-z]*_vb"
"296","dissatisfy","verb","y","strongsubj","dissatisfy","_vb","^dissatisfy[a-z]*_vb"
