"","words","pos","stemmed","type","stems","postag"
"3","abandon","verb","y","weaksubj","abandon","_vb"
"4","abase","verb","y","strongsubj","abas","_vb"
"6","abash","verb","y","strongsubj","abash","_vb"
"7","abate","verb","y","weaksubj","abat","_vb"
"8","abdicate","verb","y","weaksubj","abdic","_vb"
"12","abhor","verb","y","strongsubj","abhor","_vb"
"21","abjure","verb","y","weaksubj","abjur","_vb"
"23","abolish","verb","y","weaksubj","abolish","_vb"
"26","abominate","verb","y","strongsubj","abomin","_vb"
"28","abrade","verb","y","weaksubj","abrad","_vb"
"31","abscond","verb","y","strongsubj","abscond","_vb"
"41","abuse","verb","y","strongsubj","abus","_vb"
"49","accost","verb","y","weaksubj","accost","_vb"
"56","accuse","verb","y","strongsubj","accus","_vb"
"60","acerbate","verb","y","strongsubj","acerb","_vb"
"63","ache","verb","y","strongsubj","ach","_vb"
"74","admonish","verb","y","strongsubj","admonish","_vb"
"80","adulterate","verb","y","strongsubj","adulter","_vb"
"84","adversary","noun","y","weaksubj","adversari","_nn"
"88","afflict","verb","y","weaksubj","afflict","_vb"
"92","affront","verb","y","strongsubj","affront","_vb"
"95","aggravate","verb","y","strongsubj","aggrav","_vb"
"103","aggrieve","verb","y","strongsubj","aggriev","_vb"
"106","agitate","verb","y","strongsubj","agit","_vb"
"111","agonize","verb","y","strongsubj","agon","_vb"
"117","ail","verb","y","weaksubj","ail","_vb"
"123","alarm","verb","y","weaksubj","alarm","_vb"
"128","alienate","verb","y","weaksubj","alien","_vb"
"145","ambush","verb","y","weaksubj","ambush","_vb"
"147","amputate","verb","y","weaksubj","amput","_vb"
"155","anger","verb","y","strongsubj","anger","_vb"
"160","anguish","verb","y","strongsubj","anguish","_vb"
"161","annihilate","verb","y","strongsubj","annihil","_vb"
"164","annoy","verb","y","strongsubj","annoi","_vb"
"175","antagonize","verb","y","strongsubj","antagon","_vb"
"205","ape","verb","y","strongsubj","ap","_vb"
"212","appal","verb","y","strongsubj","appal","_vb"
"215","appall","verb","y","strongsubj","appal","_vb"
"230","argue","verb","y","strongsubj","argu","_vb"
"247","asperse","verb","y","strongsubj","aspers","_vb"
"250","assail","verb","y","weaksubj","assail","_vb"
"251","assassinate","verb","y","weaksubj","assassin","_vb"
"260","atrophy","verb","y","strongsubj","atrophi","_vb"
"262","attack","verb","y","weaksubj","attack","_vb"
"278","avenge","verb","y","strongsubj","aveng","_vb"
"281","avoid","verb","y","weaksubj","avoid","_vb"
"290","ax","verb","y","strongsubj","ax","_vb"
"291","babble","verb","y","strongsubj","babbl","_vb"
"292","backbite","verb","y","strongsubj","backbit","_vb"
"298","baffle","verb","y","strongsubj","baffl","_vb"
"302","bait","verb","y","strongsubj","bait","_vb"
"303","balk","verb","y","strongsubj","balk","_vb"
"306","banalize","verb","y","strongsubj","banal","_vb"
"309","banish","verb","y","strongsubj","banish","_vb"
"312","bankrupt","verb","y","weaksubj","bankrupt","_vb"
"313","bar","verb","y","weaksubj","bar","_vb"
"332","battle","verb","y","weaksubj","battl","_vb"
"345","befoul","verb","y","strongsubj","befoul","_vb"
"346","beg","verb","y","strongsubj","beg","_vb"
"351","beguile","verb","y","strongsubj","beguil","_vb"
"353","belabor","verb","y","strongsubj","belabor","_vb"
"354","beleaguer","verb","y","strongsubj","beleagu","_vb"
"355","belie","verb","y","strongsubj","beli","_vb"
"356","belittle","verb","y","strongsubj","belittl","_vb"
"365","bemoan","verb","y","strongsubj","bemoan","_vb"
"369","berate","verb","y","strongsubj","berat","_vb"
"370","bereave","verb","y","strongsubj","bereav","_vb"
"374","beseech","verb","y","strongsubj","beseech","_vb"
"376","besiege","verb","y","weaksubj","besieg","_vb"
"377","besmirch","verb","y","strongsubj","besmirch","_vb"
"379","betray","verb","y","strongsubj","betrai","_vb"
"383","bewail","verb","y","strongsubj","bewail","_vb"
"384","beware","verb","y","weaksubj","bewar","_vb"
"385","bewilder","verb","y","strongsubj","bewild","_vb"
"391","bewitch","verb","y","strongsubj","bewitch","_vb"
"394","bias","verb","y","strongsubj","bia","_vb"
"399","bicker","verb","y","strongsubj","bicker","_vb"
"402","bitch","verb","y","strongsubj","bitch","_vb"
"410","blab","verb","y","strongsubj","blab","_vb"
"411","blabber","verb","y","strongsubj","blabber","_vb"
"413","blackmail","verb","y","weaksubj","blackmail","_vb"
"417","blame","verb","y","strongsubj","blame","_vb"
"420","blandish","verb","y","strongsubj","blandish","_vb"
"421","blaspheme","verb","y","strongsubj","blasphem","_vb"
"429","blather","verb","y","strongsubj","blather","_vb"
"433","bleed","verb","y","weaksubj","bleed","_vb"
"435","blemish","verb","y","weaksubj","blemish","_vb"
"441","blindside","verb","y","strongsubj","blindsid","_vb"
"442","blister","verb","y","strongsubj","blister","_vb"
"446","block","verb","y","weaksubj","block","_vb"
"459","blur","verb","y","weaksubj","blur","_vb"
"460","blurt","verb","y","strongsubj","blurt","_vb"
"461","boast","verb","y","strongsubj","boast","_vb"
"463","boggle","verb","y","strongsubj","boggl","_vb"
"465","boil","verb","y","strongsubj","boil","_vb"
"468","bombard","verb","y","weaksubj","bombard","_vb"
"469","bomb","verb","y","weaksubj","bomb","_vb"
"476","bore","verb","y","strongsubj","bore","_vb"
"480","botch","verb","y","strongsubj","botch","_vb"
"482","bother","verb","y","strongsubj","bother","_vb"
"484","bowdlerize","verb","y","strongsubj","bowdler","_vb"
"491","brainwash","verb","y","strongsubj","brainwash","_vb"
"504","break","verb","y","weaksubj","break","_vb"
"507","breakdown","verb","y","weaksubj","breakdown","_vb"
"510","bristle","verb","y","strongsubj","bristl","_vb"
"514","brood","verb","y","strongsubj","brood","_vb"
"515","browbeat","verb","y","strongsubj","browbeat","_vb"
"524","brutalize","verb","y","strongsubj","brutal","_vb"
"529","bug","verb","y","weaksubj","bug","_vb"
"530","buckle","verb","y","weaksubj","buckl","_vb"
"539","bungle","verb","y","strongsubj","bungl","_vb"
"547","burn","verb","y","strongsubj","burn","_vb"
"550","butcher","verb","y","weaksubj","butcher","_vb"
"553","cackle","verb","y","strongsubj","cackl","_vb"
"554","cajole","verb","y","strongsubj","cajol","_vb"
"561","calumniate","verb","y","strongsubj","calumni","_vb"
"570","cannibalize","verb","y","strongsubj","cannib","_vb"
"571","capitulate","verb","y","weaksubj","capitul","_vb"
"575","capsize","verb","y","weaksubj","capsiz","_vb"
"579","caricature","verb","y","strongsubj","caricatur","_vb"
"581","carp","verb","y","strongsubj","carp","_vb"
"586","castigate","verb","y","strongsubj","castig","_vb"
"587","casualty","noun","y","weaksubj","casualti","_nn"
"602","cave","verb","y","weaksubj","cave","_vb"
"605","censure","verb","y","strongsubj","censur","_vb"
"606","chafe","verb","y","strongsubj","chafe","_vb"
"607","chaff","verb","y","strongsubj","chaff","_vb"
"609","chagrin","verb","y","strongsubj","chagrin","_vb"
"611","challenge","verb","y","weaksubj","challeng","_vb"
"616","chasten","verb","y","strongsubj","chasten","_vb"
"617","chastise","verb","y","strongsubj","chastis","_vb"
"619","chatter","verb","y","strongsubj","chatter","_vb"
"621","cheapen","verb","y","strongsubj","cheapen","_vb"
"624","cheat","verb","y","strongsubj","cheat","_vb"
"627","chide","verb","y","strongsubj","chide","_vb"
"629","chill","verb","y","weaksubj","chill","_vb"
"633","choke","verb","y","weaksubj","choke","_vb"
"643","clog","verb","y","weaksubj","clog","_vb"
"645","cloud","verb","y","strongsubj","cloud","_vb"
"649","coerce","verb","y","strongsubj","coerc","_vb"
"655","collapse","verb","y","weaksubj","collaps","_vb"
"656","collide","verb","y","weaksubj","collid","_vb"
"657","collude","verb","y","strongsubj","collud","_vb"
"663","commiserate","verb","y","strongsubj","commiser","_vb"
"667","compel","verb","y","strongsubj","compel","_vb"
"670","complain","verb","y","strongsubj","complain","_vb"
"677","complicate","verb","y","weaksubj","complic","_vb"
"684","concede","verb","y","strongsubj","conced","_vb"
"689","concern","verb","y","weaksubj","concern","_vb"
"697","condescend","verb","y","strongsubj","condescend","_vb"
"702","condemn","verb","y","strongsubj","condemn","_vb"
"708","confess","verb","y","strongsubj","confess","_vb"
"715","confound","verb","y","weaksubj","confound","_vb"
"718","confront","verb","y","weaksubj","confront","_vb"
"722","confuse","verb","y","strongsubj","confus","_vb"
"740","conspire","verb","y","strongsubj","conspir","_vb"
"742","constrain","verb","y","weaksubj","constrain","_vb"
"744","consume","verb","y","weaksubj","consum","_vb"
"746","contaminate","verb","y","weaksubj","contamin","_vb"
"752","contend","verb","y","strongsubj","contend","_vb"
"756","contort","verb","y","strongsubj","contort","_vb"
"759","contradict","verb","y","strongsubj","contradict","_vb"
"764","contravene","verb","y","strongsubj","contraven","_vb"
"765","contrive","verb","y","strongsubj","contriv","_vb"
"774","corrode","verb","y","weaksubj","corrod","_vb"
"778","corrupt","verb","y","strongsubj","corrupt","_vb"
"786","cow","verb","y","weaksubj","cow","_vb"
"804","cringe","verb","y","strongsubj","cring","_vb"
"805","cripple","verb","y","strongsubj","crippl","_vb"
"815","criticize","verb","y","strongsubj","critic","_vb"
"826","crumble","verb","y","weaksubj","crumbl","_vb"
"827","crumple","verb","y","weaksubj","crumpl","_vb"
"828","crush","verb","y","weaksubj","crush","_vb"
"830","cry","verb","y","strongsubj","cry","_vb"
"835","curse","verb","y","strongsubj","curs","_vb"
"841","cuss","verb","y","strongsubj","cuss","_vb"
"842","cut","verb","y","weaksubj","cut","_vb"
"851","damn","verb","y","strongsubj","damn","_vb"
"862","dangle","verb","y","strongsubj","dangl","_vb"
"864","darken","verb","y","weaksubj","darken","_vb"
"867","dash","verb","y","weaksubj","dash","_vb"
"870","daunt","verb","y","strongsubj","daunt","_vb"
"873","dawdle","verb","y","strongsubj","dawdl","_vb"
"874","daze","verb","y","strongsubj","daze","_vb"
"879","deadlock","verb","y","strongsubj","deadlock","_vb"
"886","debase","verb","y","strongsubj","debas","_vb"
"890","debate","verb","y","strongsubj","debat","_vb"
"891","debauch","verb","y","strongsubj","debauch","_vb"
"894","debilitate","verb","y","weaksubj","debilit","_vb"
"900","decay","verb","y","strongsubj","decai","_vb"
"907","deceive","verb","y","strongsubj","deceiv","_vb"
"915","declaim","verb","y","strongsubj","declaim","_vb"
"917","decline","verb","y","weaksubj","declin","_vb"
"920","decrease","verb","y","weaksubj","decreas","_vb"
"925","decry","verb","y","strongsubj","decri","_vb"
"932","defame","verb","y","strongsubj","defam","_vb"
"934","defeat","verb","y","weaksubj","defeat","_vb"
"944","defile","verb","y","strongsubj","defil","_vb"
"946","deform","verb","y","weaksubj","deform","_vb"
"951","defy","verb","y","strongsubj","defi","_vb"
"953","degenerate","verb","y","strongsubj","degener","_vb"
"957","degrade","verb","y","strongsubj","degrad","_vb"
"961","dehumanize","verb","y","strongsubj","dehuman","_vb"
"962","deign","verb","y","strongsubj","deign","_vb"
"963","deject","verb","y","strongsubj","deject","_vb"
"971","delude","verb","y","strongsubj","delud","_vb"
"980","demean","verb","y","strongsubj","demean","_vb"
"983","demolish","verb","y","weaksubj","demolish","_vb"
"988","demonize","verb","y","strongsubj","demon","_vb"
"989","demoralize","verb","y","strongsubj","demor","_vb"
"993","denigrate","verb","y","strongsubj","denigr","_vb"
"994","deny","verb","y","strongsubj","deni","_vb"
"995","denounce","verb","y","strongsubj","denounc","_vb"
"996","denunciate","verb","y","strongsubj","denunci","_vb"
"999","deplete","verb","y","weaksubj","deplet","_vb"
"1003","deplore","verb","y","strongsubj","deplor","_vb"
"1006","deprave","verb","y","strongsubj","deprav","_vb"
"1009","deprecate","verb","y","strongsubj","deprec","_vb"
"1010","depress","verb","y","weaksubj","depress","_vb"
"1017","deprive","verb","y","strongsubj","depriv","_vb"
"1019","deride","verb","y","strongsubj","derid","_vb"
"1025","desecrate","verb","y","strongsubj","desecr","_vb"
"1026","desert","verb","y","strongsubj","desert","_vb"
"1034","despair","verb","y","strongsubj","despair","_vb"
"1042","despise","verb","y","strongsubj","despis","_vb"
"1046","despoil","verb","y","strongsubj","despoil","_vb"
"1060","destroy","verb","y","weaksubj","destroi","_vb"
"1066","deter","verb","y","weaksubj","deter","_vb"
"1072","detest","verb","y","strongsubj","detest","_vb"
"1075","detract","verb","y","weaksubj","detract","_vb"
"1086","deviate","verb","y","weaksubj","deviat","_vb"
"1105","differ","verb","y","weaksubj","differ","_vb"
"1114","digress","verb","y","strongsubj","digress","_vb"
"1118","dilly-dally","verb","y","strongsubj","dilly-d","_vb"
"1121","diminish","verb","y","weaksubj","diminish","_vb"
"1131","disable","verb","y","weaksubj","disabl","_vb"
"1138","disaffect","verb","y","strongsubj","disaffect","_vb"
"1140","disaffirm","verb","y","strongsubj","disaffirm","_vb"
"1141","disagree","verb","y","strongsubj","disagre","_vb"
"1146","disallow","verb","y","strongsubj","disallow","_vb"
"1147","disappoint","verb","y","strongsubj","disappoint","_vb"
"1158","disarm","verb","y","weaksubj","disarm","_vb"
"1164","disavow","verb","y","strongsubj","disavow","_vb"
"1167","disbelieve","verb","y","strongsubj","disbeliev","_vb"
"1169","disclaim","verb","y","strongsubj","disclaim","_vb"
"1170","discombobulate","verb","y","strongsubj","discombobul","_vb"
"1171","discomfit","verb","y","strongsubj","discomfit","_vb"
"1174","discompose","verb","y","weaksubj","discompos","_vb"
"1175","disconcert","verb","y","strongsubj","disconcert","_vb"
"1192","discourage","verb","y","strongsubj","discourag","_vb"
"1198","discredit","verb","y","strongsubj","discredit","_vb"
"1200","discriminate","verb","y","weaksubj","discrimin","_vb"
"1205","disdain","verb","y","strongsubj","disdain","_vb"
"1210","disfavor","verb","y","strongsubj","disfavor","_vb"
"1212","disgrace","verb","y","strongsubj","disgrac","_vb"
"1216","disgruntle","verb","y","strongsubj","disgruntl","_vb"
"1219","disgust","verb","y","strongsubj","disgust","_vb"
"1226","dishearten","verb","y","strongsubj","dishearten","_vb"
"1234","dishonor","verb","y","strongsubj","dishonor","_vb"
"1238","disillusion","verb","y","strongsubj","disillus","_vb"
"1244","disintegrate","verb","y","weaksubj","disintegr","_vb"
"1249","dislike","verb","y","strongsubj","dislik","_vb"
"1258","dismay","verb","y","strongsubj","dismai","_vb"
"1267","disobey","verb","y","strongsubj","disobei","_vb"
"1268","disown","verb","y","strongsubj","disown","_vb"
"1270","disorder","verb","y","weaksubj","disord","_vb"
"1274","disorient","verb","y","strongsubj","disori","_vb"
"1276","disown","verb","y","strongsubj","disown","_vb"
"1277","disparage","verb","y","strongsubj","disparag","_vb"
"1281","dispirit","verb","y","strongsubj","dispirit","_vb"
"1285","displace","verb","y","weaksubj","displac","_vb"
"1287","displease","verb","y","strongsubj","displeas","_vb"
"1292","disprove","verb","y","strongsubj","disprov","_vb"
"1295","dispute","verb","y","strongsubj","disput","_vb"
"1297","disquiet","verb","y","strongsubj","disquiet","_vb"
"1306","disrespect","verb","y","strongsubj","disrespect","_vb"
"1314","disrupt","verb","y","strongsubj","disrupt","_vb"
"1322","dissatisfy","verb","y","strongsubj","dissatisfi","_vb"
"1324","dissemble","verb","y","strongsubj","dissembl","_vb"
"1344","dissuade","verb","y","strongsubj","dissuad","_vb"
"1349","distort","verb","y","strongsubj","distort","_vb"
"1352","distract","verb","y","weaksubj","distract","_vb"
"1359","distress","verb","y","strongsubj","distress","_vb"
"1363","distrust","verb","y","strongsubj","distrust","_vb"
"1366","disturb","verb","y","strongsubj","disturb","_vb"
"1375","divide","verb","y","weaksubj","divid","_vb"
"1382","divorce","verb","y","weaksubj","divorc","_vb"
"1395","dominate","verb","y","weaksubj","domin","_vb"
"1398","domineer","verb","y","strongsubj","domin","_vb"
"1401","doom","verb","y","strongsubj","doom","_vb"
"1406","doubt","verb","y","strongsubj","doubt","_vb"
"1417","downgrade","verb","y","weaksubj","downgrad","_vb"
"1427","dragoon","verb","y","strongsubj","dragoon","_vb"
"1435","dread","verb","y","strongsubj","dread","_vb"
"1442","droop","verb","y","weaksubj","droop","_vb"
"1457","dumbfound","verb","y","strongsubj","dumbfound","_vb"
"1465","dupe","verb","y","strongsubj","dupe","_vb"
"1467","dwindle","verb","y","weaksubj","dwindl","_vb"
"1485","ejaculate","verb","y","strongsubj","ejacul","_vb"
"1488","eliminate","verb","y","weaksubj","elimin","_vb"
"1491","emasculate","verb","y","strongsubj","emascul","_vb"
"1492","embarrass","verb","y","strongsubj","embarrass","_vb"
"1497","embroil","verb","y","strongsubj","embroil","_vb"
"1501","empathize","verb","y","strongsubj","empath","_vb"
"1508","encroach","verb","y","weaksubj","encroach","_vb"
"1510","endanger","verb","y","strongsubj","endang","_vb"
"1515","enervate","verb","y","strongsubj","enerv","_vb"
"1516","enfeeble","verb","y","strongsubj","enfeebl","_vb"
"1517","enflame","verb","y","strongsubj","enflam","_vb"
"1518","engulf","verb","y","weaksubj","engulf","_vb"
"1519","enjoin","verb","y","strongsubj","enjoin","_vb"
"1525","enrage","verb","y","strongsubj","enrag","_vb"
"1527","enslave","verb","y","strongsubj","enslav","_vb"
"1528","entangle","verb","y","weaksubj","entangl","_vb"
"1530","entrap","verb","y","strongsubj","entrap","_vb"
"1536","envy","verb","y","strongsubj","envi","_vb"
"1539","eradicate","verb","y","weaksubj","erad","_vb"
"1540","erase","verb","y","weaksubj","eras","_vb"
"1541","erode","verb","y","weaksubj","erod","_vb"
"1543","err","verb","y","strongsubj","err","_vb"
"1553","eschew","verb","y","strongsubj","eschew","_vb"
"1557","evade","verb","y","weaksubj","evad","_vb"
"1565","eviscerate","verb","y","strongsubj","eviscer","_vb"
"1566","exacerbate","verb","y","strongsubj","exacerb","_vb"
"1568","exaggerate","verb","y","strongsubj","exagger","_vb"
"1571","exasperate","verb","y","strongsubj","exasper","_vb"
"1577","exclaim","verb","y","strongsubj","exclaim","_vb"
"1578","exclude","verb","y","weaksubj","exclud","_vb"
"1580","excoriate","verb","y","strongsubj","excori","_vb"
"1587","execrate","verb","y","strongsubj","execr","_vb"
"1588","exhaust","verb","y","weaksubj","exhaust","_vb"
"1590","exhort","verb","y","strongsubj","exhort","_vb"
"1591","exile","verb","y","weaksubj","exil","_vb"
"1598","expel","verb","y","weaksubj","expel","_vb"
"1601","expire","verb","y","strongsubj","expir","_vb"
"1602","explode","verb","y","weaksubj","explod","_vb"
"1603","exploit","verb","y","strongsubj","exploit","_vb"
"1606","expose","verb","y","weaksubj","expos","_vb"
"1613","expulse","verb","y","weaksubj","expuls","_vb"
"1614","expunge","verb","y","strongsubj","expung","_vb"
"1615","exterminate","verb","y","strongsubj","extermin","_vb"
"1617","extinguish","verb","y","weaksubj","extinguish","_vb"
"1618","extort","verb","y","weaksubj","extort","_vb"
"1632","fabricate","verb","y","weaksubj","fabric","_vb"
"1637","fail","verb","y","weaksubj","fail","_vb"
"1647","fall","verb","y","weaksubj","fall","_vb"
"1659","falsify","verb","y","strongsubj","falsifi","_vb"
"1660","falter","verb","y","strongsubj","falter","_vb"
"1694","fault","verb","y","strongsubj","fault","_vb"
"1697","faze","verb","y","weaksubj","faze","_vb"
"1699","fear","verb","y","strongsubj","fear","_vb"
"1709","feign","verb","y","weaksubj","feign","_vb"
"1724","fib","verb","y","strongsubj","fib","_vb"
"1731","fidget","verb","y","strongsubj","fidget","_vb"
"1742","finagle","verb","y","weaksubj","finagl","_vb"
"1743","fine","verb","y","weaksubj","fine","_vb"
"1747","flabbergast","verb","y","strongsubj","flabbergast","_vb"
"1761","flaunt","verb","y","strongsubj","flaunt","_vb"
"1767","fleer","verb","y","strongsubj","fleer","_vb"
"1772","flirt","verb","y","strongsubj","flirt","_vb"
"1775","flounder","verb","y","strongsubj","flounder","_vb"
"1777","flout","verb","y","strongsubj","flout","_vb"
"1778","fluster","verb","y","weaksubj","fluster","_vb"
"1789","force","verb","y","weaksubj","forc","_vb"
"1793","forfeit","verb","y","weaksubj","forfeit","_vb"
"1795","forget","verb","y","strongsubj","forget","_vb"
"1802","forsake","verb","y","strongsubj","forsak","_vb"
"1804","forswear","verb","y","strongsubj","forswear","_vb"
"1807","foul","verb","y","weaksubj","foul","_vb"
"1813","fracture","verb","y","weaksubj","fractur","_vb"
"1821","fraternize","verb","y","strongsubj","fratern","_vb"
"1828","freak","verb","y","strongsubj","freak","_vb"
"1834","frazzle","verb","y","strongsubj","frazzl","_vb"
"1840","fret","verb","y","strongsubj","fret","_vb"
"1849","frighten","verb","y","strongsubj","frighten","_vb"
"1862","fumble","verb","y","weaksubj","fumbl","_vb"
"1863","fun","verb","y","strongsubj","fun","_vb"
"1864","frustrate","verb","y","strongsubj","frustrat","_vb"
"1872","fudge","verb","y","strongsubj","fudg","_vb"
"1875","fulminate","verb","y","strongsubj","fulmin","_vb"
"1876","fume","verb","y","strongsubj","fume","_vb"
"1885","fuss","verb","y","strongsubj","fuss","_vb"
"1886","fustigate","verb","y","strongsubj","fustig","_vb"
"1893","gabble","verb","y","strongsubj","gabbl","_vb"
"1896","gainsay","verb","y","strongsubj","gainsai","_vb"
"1899","gaggle","verb","y","strongsubj","gaggl","_vb"
"1900","gall","verb","y","strongsubj","gall","_vb"
"1904","gamble","verb","y","weaksubj","gambl","_vb"
"1906","gape","verb","y","strongsubj","gape","_vb"
"1914","gawk","verb","y","strongsubj","gawk","_vb"
"1923","gibber","verb","y","strongsubj","gibber","_vb"
"1925","gibe","verb","y","strongsubj","gibe","_vb"
"1927","glare","verb","y","strongsubj","glare","_vb"
"1936","gloss","verb","y","strongsubj","gloss","_vb"
"1937","glower","verb","y","strongsubj","glower","_vb"
"1941","goad","verb","y","strongsubj","goad","_vb"
"1947","goof","verb","y","strongsubj","goof","_vb"
"1950","gossip","verb","y","strongsubj","gossip","_vb"
"1955","grapple","verb","y","weaksubj","grappl","_vb"
"1956","grate","verb","y","strongsubj","grate","_vb"
"1969","grieve","verb","y","strongsubj","griev","_vb"
"1973","grill","verb","y","weaksubj","grill","_vb"
"1975","grimace","verb","y","strongsubj","grimac","_vb"
"1979","gripe","verb","y","strongsubj","gripe","_vb"
"1988","grouse","verb","y","strongsubj","grous","_vb"
"1989","growl","verb","y","strongsubj","growl","_vb"
"1998","grumble","verb","y","strongsubj","grumbl","_vb"
"2005","haggle","verb","y","strongsubj","haggl","_vb"
"2008","hallucinate","verb","y","strongsubj","hallucin","_vb"
"2010","hamper","verb","y","strongsubj","hamper","_vb"
"2017","harass","verb","y","weaksubj","harass","_vb"
"2030","harden","verb","y","weaksubj","harden","_vb"
"2049","harrow","verb","y","strongsubj","harrow","_vb"
"2057","hate","verb","y","strongsubj","hate","_vb"
"2065","haunt","verb","y","weaksubj","haunt","_vb"
"2071","hazard","verb","y","weaksubj","hazard","_vb"
"2090","heckle","verb","y","strongsubj","heckl","_vb"
"2092","hedge","verb","y","strongsubj","hedg","_vb"
"2115","hinder","verb","y","strongsubj","hinder","_vb"
"2117","hoard","verb","y","strongsubj","hoard","_vb"
"2118","hoax","verb","y","strongsubj","hoax","_vb"
