"","words","pos","stemmed","type","stems","postag"
"2119","hobble","verb","y","weaksubj","hobbl","_vb"
"2122","hoodwink","verb","y","strongsubj","hoodwink","_vb"
"2136","horrify","verb","y","strongsubj","horrifi","_vb"
"2157","humiliate","verb","y","strongsubj","humili","_vb"
"2160","hunger","verb","y","strongsubj","hunger","_vb"
"2163","hurt","verb","y","weaksubj","hurt","_vb"
"2188","ignore","verb","y","weaksubj","ignor","_vb"
"2241","impair","verb","y","strongsubj","impair","_vb"
"2247","impeach","verb","y","strongsubj","impeach","_vb"
"2248","impede","verb","y","strongsubj","imped","_vb"
"2257","imperil","verb","y","strongsubj","imperil","_vb"
"2266","impinge","verb","y","strongsubj","imping","_vb"
"2271","implicate","verb","y","weaksubj","implic","_vb"
"2274","implode","verb","y","strongsubj","implod","_vb"
"2279","importune","verb","y","strongsubj","importun","_vb"
"2280","impose","verb","y","strongsubj","impos","_vb"
"2292","impoverish","verb","y","weaksubj","impoverish","_vb"
"2296","imprecate","verb","y","strongsubj","imprec","_vb"
"2300","imprison","verb","y","weaksubj","imprison","_vb"
"2313","impugn","verb","y","strongsubj","impugn","_vb"
"2348","incense","verb","y","weaksubj","incens","_vb"
"2351","incite","verb","y","weaksubj","incit","_vb"
"2402","inculcate","verb","y","strongsubj","inculc","_vb"
"2441","indulge","verb","y","strongsubj","indulg","_vb"
"2500","infest","verb","y","weaksubj","infest","_vb"
"2508","inflame","verb","y","strongsubj","inflam","_vb"
"2513","inflict","verb","y","strongsubj","inflict","_vb"
"2515","infringe","verb","y","strongsubj","infring","_vb"
"2519","infuriate","verb","y","strongsubj","infuri","_vb"
"2526","inhibit","verb","y","weaksubj","inhibit","_vb"
"2538","injure","verb","y","weaksubj","injur","_vb"
"2570","insinuate","verb","y","strongsubj","insinu","_vb"
"2584","instigate","verb","y","strongsubj","instig","_vb"
"2597","insult","verb","y","strongsubj","insult","_vb"
"2608","interfere","verb","y","weaksubj","interfer","_vb"
"2612","interrupt","verb","y","weaksubj","interrupt","_vb"
"2614","intimidate","verb","y","weaksubj","intimid","_vb"
"2624","intoxicate","verb","y","weaksubj","intox","_vb"
"2629","intrude","verb","y","strongsubj","intrud","_vb"
"2632","inundate","verb","y","strongsubj","inund","_vb"
"2637","invalidate","verb","y","strongsubj","invalid","_vb"
"2641","inveigle","verb","y","strongsubj","inveigl","_vb"
"2650","irk","verb","y","strongsubj","irk","_vb"
"2683","irritate","verb","y","strongsubj","irrit","_vb"
"2688","isolate","verb","y","weaksubj","isol","_vb"
"2691","itch","verb","y","strongsubj","itch","_vb"
"2692","jabber","verb","y","strongsubj","jabber","_vb"
"2695","jar","verb","y","weaksubj","jar","_vb"
"2702","jeer","verb","y","strongsubj","jeer","_vb"
"2706","jeopardize","verb","y","strongsubj","jeopard","_vb"
"2712","jolt","verb","y","weaksubj","jolt","_vb"
"2719","keen","verb","y","strongsubj","keen","_vb"
"2722","kill","verb","y","weaksubj","kill","_vb"
"2727","knife","verb","y","weaksubj","knife","_vb"
"2729","knock","verb","y","weaksubj","knock","_vb"
"2741","lag","verb","y","weaksubj","lag","_vb"
"2742","lambast","verb","y","strongsubj","lambast","_vb"
"2743","lambaste","verb","y","strongsubj","lambast","_vb"
"2746","lament","verb","y","strongsubj","lament","_vb"
"2750","languish","verb","y","strongsubj","languish","_vb"
"2760","laugh","verb","y","strongsubj","laugh","_vb"
"2773","leak","verb","y","weaksubj","leak","_vb"
"2783","lecture","verb","y","weaksubj","lectur","_vb"
"2786","leech","verb","y","strongsubj","leech","_vb"
"2788","leer","verb","y","strongsubj","leer","_vb"
"2793","lessen","verb","y","weaksubj","lessen","_vb"
"2822","limit","verb","y","weaksubj","limit","_vb"
"2834","loathe","verb","y","strongsubj","loath","_vb"
"2844","long","verb","y","strongsubj","long","_vb"
"2854","lose","verb","y","weaksubj","lose","_vb"
"2868","lull","verb","y","weaksubj","lull","_vb"
"2872","lurch","verb","y","strongsubj","lurch","_vb"
"2873","lure","verb","y","strongsubj","lure","_vb"
"2875","lurk","verb","y","strongsubj","lurk","_vb"
"2877","lure","verb","y","strongsubj","lure","_vb"
"2881","madden","verb","y","strongsubj","madden","_vb"
"2897","maledict","verb","y","strongsubj","maledict","_vb"
"2906","malign","verb","y","strongsubj","malign","_vb"
"2913","mangle","verb","y","strongsubj","mangl","_vb"
"2918","manipulate","verb","y","weaksubj","manipul","_vb"
"2925","mar","verb","y","strongsubj","mar","_vb"
"2931","massacre","verb","y","strongsubj","massacr","_vb"
"2943","meddle","verb","y","strongsubj","meddl","_vb"
"2951","menace","verb","y","strongsubj","menac","_vb"
"2967","miff","verb","y","weaksubj","miff","_vb"
"2970","mind","verb","y","weaksubj","mind","_vb"
"2976","mire","verb","y","strongsubj","mire","_vb"
"2977","misapprehend","verb","y","weaksubj","misapprehend","_vb"
"2979","misbecome","verb","y","strongsubj","misbecom","_vb"
"2981","misbehave","verb","y","strongsubj","misbehav","_vb"
"2983","miscalculate","verb","y","weaksubj","miscalcul","_vb"
"3009","misguide","verb","y","strongsubj","misguid","_vb"
"3011","mishandle","verb","y","strongsubj","mishandl","_vb"
"3013","misinform","verb","y","strongsubj","misinform","_vb"
"3015","misinterpret","verb","y","strongsubj","misinterpret","_vb"
"3016","misjudge","verb","y","strongsubj","misjudg","_vb"
"3019","mislead","verb","y","strongsubj","mislead","_vb"
"3022","mislike","verb","y","strongsubj","mislik","_vb"
"3023","mismanage","verb","y","strongsubj","mismanag","_vb"
"3024","misread","verb","y","strongsubj","misread","_vb"
"3027","misrepresent","verb","y","strongsubj","misrepres","_vb"
"3029","miss","verb","y","weaksubj","miss","_vb"
"3033","mistaken","verb","y","strongsubj","mistaken","_vb"
"3048","misuse","verb","y","strongsubj","misus","_vb"
"3049","moan","verb","y","strongsubj","moan","_vb"
"3051","mock","verb","y","strongsubj","mock","_vb"
"3056","molest","verb","y","strongsubj","molest","_vb"
"3066","moon","verb","y","weaksubj","moon","_vb"
"3068","mope","verb","y","weaksubj","mope","_vb"
"3076","mortify","verb","y","strongsubj","mortifi","_vb"
"3081","mourn","verb","y","strongsubj","mourn","_vb"
"3085","muddle","verb","y","weaksubj","muddl","_vb"
"3094","murder","verb","y","weaksubj","murder","_vb"
"3102","mystify","verb","y","weaksubj","mystifi","_vb"
"3106","nag","verb","y","strongsubj","nag","_vb"
"3119","nauseate","verb","y","weaksubj","nauseat","_vb"
"3132","negate","verb","y","weaksubj","negat","_vb"
"3136","neglect","verb","y","strongsubj","neglect","_vb"
"3142","nettle","verb","y","weaksubj","nettl","_vb"
"3149","niggle","verb","y","weaksubj","niggl","_vb"
"3153","nix","verb","y","strongsubj","nix","_vb"
"3164","numb","verb","y","weaksubj","numb","_vb"
"3167","object","verb","y","strongsubj","object","_vb"
"3174","obliterate","verb","y","strongsubj","obliter","_vb"
"3184","obscure","verb","y","strongsubj","obscur","_vb"
"3186","obsess","verb","y","strongsubj","obsess","_vb"
"3197","obstruct","verb","y","weaksubj","obstruct","_vb"
"3213","offend","verb","y","strongsubj","offend","_vb"
"3226","omit","verb","y","weaksubj","omit","_vb"
"3236","oppose","verb","y","strongsubj","oppos","_vb"
"3241","oppress","verb","y","strongsubj","oppress","_vb"
"3251","ostracize","verb","y","strongsubj","ostrac","_vb"
"3263","outrage","verb","y","strongsubj","outrag","_vb"
"3275","overact","verb","y","strongsubj","overact","_vb"
"3277","overawe","verb","y","weaksubj","overaw","_vb"
"3278","overbalance","verb","y","weaksubj","overbal","_vb"
"3283","overcome","verb","y","strongsubj","overcom","_vb"
"3284","overdo","verb","y","strongsubj","overdo","_vb"
"3287","overemphasize","verb","y","strongsubj","overemphas","_vb"
"3289","overlook","verb","y","strongsubj","overlook","_vb"
"3290","overplay","verb","y","strongsubj","overplai","_vb"
"3291","overpower","verb","y","weaksubj","overpow","_vb"
"3292","overreach","verb","y","weaksubj","overreach","_vb"
"3293","overrun","verb","y","weaksubj","overrun","_vb"
"3294","overshadow","verb","y","weaksubj","overshadow","_vb"
"3298","oversimplify","verb","y","weaksubj","oversimplifi","_vb"
"3305","overthrow","verb","y","weaksubj","overthrow","_vb"
"3306","overturn","verb","y","weaksubj","overturn","_vb"
"3307","overwhelm","verb","y","weaksubj","overwhelm","_vb"
"3315","pain","verb","y","weaksubj","pain","_vb"
"3323","pan","verb","y","weaksubj","pan","_vb"
"3326","panic","verb","y","strongsubj","panic","_vb"
"3336","parody","verb","y","strongsubj","parodi","_vb"
"3350","patronize","verb","y","strongsubj","patron","_vb"
"3362","peeve","verb","y","strongsubj","peev","_vb"
"3366","penalize","verb","y","strongsubj","penal","_vb"
"3377","perish","verb","y","strongsubj","perish","_vb"
"3379","perplex","verb","y","strongsubj","perplex","_vb"
"3383","persecute","verb","y","strongsubj","persecut","_vb"
"3389","perturb","verb","y","strongsubj","perturb","_vb"
"3395","pervert","verb","y","strongsubj","pervert","_vb"
"3402","petrify","verb","y","strongsubj","petrifi","_vb"
"3404","pettifog","verb","y","strongsubj","pettifog","_vb"
"3411","pillory","verb","y","strongsubj","pillori","_vb"
"3413","pinch","verb","y","weaksubj","pinch","_vb"
"3414","pine","verb","y","strongsubj","pine","_vb"
"3415","pique","verb","y","weaksubj","piqu","_vb"
"3423","pity","verb","y","strongsubj","piti","_vb"
"3424","plagiarize","verb","y","strongsubj","plagiar","_vb"
"3427","plague","verb","y","weaksubj","plagu","_vb"
"3435","plot","verb","y","strongsubj","plot","_vb"
"3440","plunder","verb","y","strongsubj","plunder","_vb"
"3450","polemize","verb","y","strongsubj","polem","_vb"
"3451","pollute","verb","y","weaksubj","pollut","_vb"
"3462","pout","verb","y","strongsubj","pout","_vb"
"3465","prate","verb","y","strongsubj","prate","_vb"
"3467","prattle","verb","y","strongsubj","prattl","_vb"
"3470","precipitate","verb","y","strongsubj","precipit","_vb"
"3474","prejudge","verb","y","strongsubj","prejudg","_vb"
"3479","preoccupy","verb","y","weaksubj","preoccupi","_vb"
"3484","presume","verb","y","strongsubj","presum","_vb"
"3495","prevaricate","verb","y","strongsubj","prevar","_vb"
"3497","prickle","verb","y","strongsubj","prickl","_vb"
"3510","procrastinate","verb","y","strongsubj","procrastin","_vb"
"3513","profane","verb","y","strongsubj","profan","_vb"
"3515","prohibit","verb","y","weaksubj","prohibit","_vb"
"3520","propagandize","verb","y","strongsubj","propagand","_vb"
"3525","prosecute","verb","y","strongsubj","prosecut","_vb"
"3528","protest","verb","y","strongsubj","protest","_vb"
"3536","provoke","verb","y","strongsubj","provok","_vb"
"3537","pry","verb","y","weaksubj","pry","_vb"
"3543","punish","verb","y","strongsubj","punish","_vb"
"3552","puzzle","verb","y","strongsubj","puzzl","_vb"
"3556","quack","verb","y","strongsubj","quack","_vb"
"3562","quarrel","verb","y","strongsubj","quarrel","_vb"
"3567","quash","verb","y","strongsubj","quash","_vb"
"3571","quibble","verb","y","strongsubj","quibbl","_vb"
"3572","quit","verb","y","weaksubj","quit","_vb"
"3581","rack","verb","y","strongsubj","rack","_vb"
"3590","rage","verb","y","strongsubj","rage","_vb"
"3593","rail","verb","y","strongsubj","rail","_vb"
"3594","rampage","verb","y","strongsubj","rampag","_vb"
"3599","rankle","verb","y","strongsubj","rankl","_vb"
"3601","rant","verb","y","strongsubj","rant","_vb"
"3607","rationalize","verb","y","strongsubj","ration","_vb"
"3608","rattle","verb","y","strongsubj","rattl","_vb"
"3609","ravage","verb","y","strongsubj","ravag","_vb"
"3613","rebuff","verb","y","strongsubj","rebuff","_vb"
"3614","rebuke","verb","y","strongsubj","rebuk","_vb"
"3616","recant","verb","y","strongsubj","recant","_vb"
"3622","recoil","verb","y","strongsubj","recoil","_vb"
"3632","refute","verb","y","strongsubj","refut","_vb"
"3633","regress","verb","y","weaksubj","regress","_vb"
"3638","regret","verb","y","strongsubj","regret","_vb"
"3643","reject","verb","y","strongsubj","reject","_vb"
"3646","relapse","verb","y","weaksubj","relaps","_vb"
"3662","renounce","verb","y","strongsubj","renounc","_vb"
"3664","repel","verb","y","weaksubj","repel","_vb"
"3671","repress","verb","y","weaksubj","repress","_vb"
"3675","reprimand","verb","y","strongsubj","reprimand","_vb"
"3678","reproach","verb","y","strongsubj","reproach","_vb"
"3680","reprove","verb","y","strongsubj","reprov","_vb"
"3682","repudiate","verb","y","strongsubj","repudi","_vb"
"3685","repugn","verb","y","strongsubj","repugn","_vb"
"3689","repulse","verb","y","weaksubj","repuls","_vb"
"3695","resent","verb","y","strongsubj","resent","_vb"
"3709","restrict","verb","y","weaksubj","restrict","_vb"
"3713","retaliate","verb","y","weaksubj","retali","_vb"
"3715","retard","verb","y","weaksubj","retard","_vb"
"3717","retire","verb","y","weaksubj","retir","_vb"
"3718","retract","verb","y","weaksubj","retract","_vb"
"3720","retreat","verb","y","weaksubj","retreat","_vb"
"3722","revenge","verb","y","strongsubj","reveng","_vb"
"3725","revert","verb","y","weaksubj","revert","_vb"
"3726","revile","verb","y","strongsubj","revil","_vb"
"3728","revoke","verb","y","weaksubj","revok","_vb"
"3729","revolt","verb","y","weaksubj","revolt","_vb"
"3734","rhapsodize","verb","y","weaksubj","rhapsod","_vb"
"3739","rid","verb","y","strongsubj","rid","_vb"
"3741","ridicule","verb","y","strongsubj","ridicul","_vb"
"3752","rile","verb","y","strongsubj","rile","_vb"
"3758","rival","verb","y","weaksubj","rival","_vb"
"3768","rot","verb","y","weaksubj","rot","_vb"
"3774","rue","verb","y","strongsubj","rue","_vb"
"3776","ruffle","verb","y","weaksubj","ruffl","_vb"
"3779","ruin","verb","y","weaksubj","ruin","_vb"
"3789","rumple","verb","y","strongsubj","rumpl","_vb"
"3793","rupture","verb","y","weaksubj","ruptur","_vb"
"3798","sabotage","verb","y","strongsubj","sabotag","_vb"
"3803","sadden","verb","y","strongsubj","sadden","_vb"
"3806","sag","verb","y","weaksubj","sag","_vb"
"3810","sap","verb","y","strongsubj","sap","_vb"
"3817","sass","verb","y","strongsubj","sass","_vb"
"3819","satirize","verb","y","strongsubj","satir","_vb"
"3822","savage","verb","y","strongsubj","savag","_vb"
"3829","scandalize","verb","y","strongsubj","scandal","_vb"
"3837","scar","verb","y","strongsubj","scar","_vb"
"3842","scare","verb","y","strongsubj","scare","_vb"
"3854","scheme","verb","y","weaksubj","scheme","_vb"
"3856","scoff","verb","y","strongsubj","scoff","_vb"
"3858","scold","verb","y","strongsubj","scold","_vb"
"3863","scorn","verb","y","strongsubj","scorn","_vb"
"3869","scowl","verb","y","strongsubj","scowl","_vb"
"3870","scream","verb","y","strongsubj","scream","_vb"
"3872","screech","verb","y","strongsubj","screech","_vb"
"3873","screw","verb","y","weaksubj","screw","_vb"
"3882","seethe","verb","y","strongsubj","seeth","_vb"
"3908","sermonize","verb","y","strongsubj","sermon","_vb"
"3918","shadow","verb","y","strongsubj","shadow","_vb"
"3921","shake","verb","y","weaksubj","shake","_vb"
"3927","shame","verb","y","strongsubj","shame","_vb"
"3939","shatter","verb","y","strongsubj","shatter","_vb"
"3941","shirk","verb","y","strongsubj","shirk","_vb"
"3944","shiver","verb","y","strongsubj","shiver","_vb"
"3947","shock","verb","y","strongsubj","shock","_vb"
"3953","shortchange","verb","y","strongsubj","shortchang","_vb"
"3961","shred","verb","y","weaksubj","shred","_vb"
"3963","shriek","verb","y","strongsubj","shriek","_vb"
"3967","shrivel","verb","y","strongsubj","shrivel","_vb"
"3968","shroud","verb","y","strongsubj","shroud","_vb"
"3971","shrug","verb","y","weaksubj","shrug","_vb"
"3972","shun","verb","y","strongsubj","shun","_vb"
"3978","sicken","verb","y","weaksubj","sicken","_vb"
"3984","sidetrack","verb","y","strongsubj","sidetrack","_vb"
"3989","simmer","verb","y","strongsubj","simmer","_vb"
"4013","skulk","verb","y","strongsubj","skulk","_vb"
"4017","slander","verb","y","strongsubj","slander","_vb"
"4023","slap","verb","y","strongsubj","slap","_vb"
"4028","slaughter","verb","y","weaksubj","slaughter","_vb"
"4035","slight","verb","y","weaksubj","slight","_vb"
"4054","smash","verb","y","weaksubj","smash","_vb"
"4055","smear","verb","y","weaksubj","smear","_vb"
"4059","smolder","verb","y","strongsubj","smolder","_vb"
"4061","smother","verb","y","strongsubj","smother","_vb"
"4062","smoulder","verb","y","strongsubj","smoulder","_vb"
"4072","snarl","verb","y","weaksubj","snarl","_vb"
"4073","snatch","verb","y","weaksubj","snatch","_vb"
"4075","sneak","verb","y","weaksubj","sneak","_vb"
"4079","sneer","verb","y","strongsubj","sneer","_vb"
"4082","snub","verb","y","strongsubj","snub","_vb"
"4085","sob","verb","y","strongsubj","sob","_vb"
"4087","sober","verb","y","weaksubj","sober","_vb"
"4097","sorrow","verb","y","weaksubj","sorrow","_vb"
"4106","spank","verb","y","strongsubj","spank","_vb"
"4116","split","verb","y","weaksubj","split","_vb"
"4118","spoil","verb","y","strongsubj","spoil","_vb"
"4119","spook","verb","y","strongsubj","spook","_vb"
"4126","spoon-feed","verb","y","strongsubj","spoon-fe","_vb"
"4132","spurn","verb","y","strongsubj","spurn","_vb"
"4133","sputter","verb","y","strongsubj","sputter","_vb"
"4134","squabble","verb","y","strongsubj","squabbl","_vb"
"4136","squander","verb","y","strongsubj","squander","_vb"
"4137","squash","verb","y","strongsubj","squash","_vb"
"4138","squirm","verb","y","strongsubj","squirm","_vb"
"4139","stab","verb","y","weaksubj","stab","_vb"
"4140","stagger","verb","y","weaksubj","stagger","_vb"
"4144","stagnate","verb","y","strongsubj","stagnat","_vb"
"4147","stain","verb","y","weaksubj","stain","_vb"
"4152","stammer","verb","y","strongsubj","stammer","_vb"
"4158","startle","verb","y","strongsubj","startl","_vb"
"4162","starve","verb","y","weaksubj","starv","_vb"
"4164","steal","verb","y","weaksubj","steal","_vb"
"4174","stew","verb","y","strongsubj","stew","_vb"
"4177","stifle","verb","y","strongsubj","stifl","_vb"
"4181","stigma","verb","y","strongsubj","stigma","_vb"
"4182","stigmatize","verb","y","strongsubj","stigmat","_vb"
"4185","sting","verb","y","weaksubj","sting","_vb"
"4189","stink","verb","y","strongsubj","stink","_vb"
"4198","storm","verb","y","weaksubj","storm","_vb"
"4200","straggle","verb","y","weaksubj","straggl","_vb"
"4203","strain","verb","y","weaksubj","strain","_vb"
"4210","strangle","verb","y","weaksubj","strangl","_vb"
"4213","stress","verb","y","strongsubj","stress","_vb"
"4222","strike","verb","y","weaksubj","strike","_vb"
"4225","struck","verb","y","weaksubj","struck","_vb"
"4228","strut","verb","y","strongsubj","strut","_vb"
"4234","stump","verb","y","weaksubj","stump","_vb"
"4235","stun","verb","y","weaksubj","stun","_vb"
"4242","stupify","verb","y","strongsubj","stupifi","_vb"
"4250","subjugate","verb","y","strongsubj","subjug","_vb"
"4257","subside","verb","y","weaksubj","subsid","_vb"
"4259","subtract","verb","y","weaksubj","subtract","_vb"
"4263","subvert","verb","y","weaksubj","subvert","_vb"
"4264","succumb","verb","y","strongsubj","succumb","_vb"
"4266","suffer","verb","y","weaksubj","suffer","_vb"
"4272","suffocate","verb","y","strongsubj","suffoc","_vb"
"4273","sugar-coat","verb","y","strongsubj","sugar-coat","_vb"
"4278","sulk","verb","y","strongsubj","sulk","_vb"
"4280","sully","verb","y","strongsubj","sulli","_vb"
"4281","sunder","verb","y","strongsubj","sunder","_vb"
"4292","suppress","verb","y","weaksubj","suppress","_vb"
"4310","swagger","verb","y","strongsubj","swagger","_vb"
"4313","swindle","verb","y","strongsubj","swindl","_vb"
"4316","swoon","verb","y","weaksubj","swoon","_vb"
"4323","sympathize","verb","y","strongsubj","sympath","_vb"
"4331","taint","verb","y","strongsubj","taint","_vb"
"4333","tamper","verb","y","weaksubj","tamper","_vb"
"4337","tarnish","verb","y","weaksubj","tarnish","_vb"
"4340","taunt","verb","y","strongsubj","taunt","_vb"
"4345","tease","verb","y","weaksubj","teas","_vb"
"4352","temper","verb","y","weaksubj","temper","_vb"
"4371","terrorize","verb","y","strongsubj","terror","_vb"
"4374","thirst","verb","y","strongsubj","thirst","_vb"
"4380","thrash","verb","y","weaksubj","thrash","_vb"
"4383","threaten","verb","y","weaksubj","threaten","_vb"
"4388","throttle","verb","y","strongsubj","throttl","_vb"
"4389","throw","verb","y","weaksubj","throw","_vb"
"4390","thumb","verb","y","weaksubj","thumb","_vb"
"4393","thwart","verb","y","strongsubj","thwart","_vb"
"4399","tire","verb","y","weaksubj","tire","_vb"
"4405","toil","verb","y","strongsubj","toil","_vb"
"4409","topple","verb","y","weaksubj","toppl","_vb"
"4411","torment","verb","y","strongsubj","torment","_vb"
"4415","torture","verb","y","weaksubj","tortur","_vb"
"4425","traduce","verb","y","strongsubj","traduc","_vb"
"4435","trample","verb","y","strongsubj","trampl","_vb"
"4436","transgress","verb","y","weaksubj","transgress","_vb"
"4443","traumatize","verb","y","strongsubj","traumat","_vb"
"4447","travesty","verb","y","strongsubj","travesti","_vb"
"4461","trivialize","verb","y","strongsubj","trivial","_vb"
"4466","trouble","verb","y","weaksubj","troubl","_vb"
"4475","try","verb","y","weaksubj","try","_vb"
"4481","twist","verb","y","strongsubj","twist","_vb"
"4535","underestimate","verb","y","strongsubj","underestim","_vb"
"4538","undermine","verb","y","strongsubj","undermin","_vb"
"4607","unleash","verb","y","strongsubj","unleash","_vb"
"4616","unnerve","verb","y","strongsubj","unnerv","_vb"
"4657","unsettle","verb","y","strongsubj","unsettl","_vb"
"4699","upbraid","verb","y","strongsubj","upbraid","_vb"
"4707","uproot","verb","y","weaksubj","uproot","_vb"
"4709","upset","verb","y","weaksubj","upset","_vb"
"4719","usurp","verb","y","strongsubj","usurp","_vb"
"4729","vanish","verb","y","weaksubj","vanish","_vb"
"4748","vex","verb","y","strongsubj","vex","_vb"
"4756","victimize","verb","y","strongsubj","victim","_vb"
"4757","vie","verb","y","strongsubj","vie","_vb"
"4760","vilify","verb","y","strongsubj","vilifi","_vb"
"4768","villify","verb","y","strongsubj","villifi","_vb"
"4772","violate","verb","y","strongsubj","violat","_vb"
"4791","vomit","verb","y","weaksubj","vomit","_vb"
"4793","wail","verb","y","strongsubj","wail","_vb"
"4794","wallow","verb","y","weaksubj","wallow","_vb"
"4795","wane","verb","y","weaksubj","wane","_vb"
"4807","warp","verb","y","weaksubj","warp","_vb"
"4813","waste","verb","y","weaksubj","wast","_vb"
"4820","weaken","verb","y","strongsubj","weaken","_vb"
"4831","weary","verb","y","weaksubj","weari","_vb"
"4836","weep","verb","y","weaksubj","weep","_vb"
"4841","wheedle","verb","y","strongsubj","wheedl","_vb"
"4842","whimper","verb","y","strongsubj","whimper","_vb"
"4844","whine","verb","y","strongsubj","whine","_vb"
"4854","wilt","verb","y","strongsubj","wilt","_vb"
"4856","wince","verb","y","strongsubj","winc","_vb"
"4864","worn","verb","y","weaksubj","worn","_vb"
"4873","worry","verb","y","strongsubj","worri","_vb"
"4885","wound","verb","y","weaksubj","wound","_vb"
"4889","wreck","verb","y","weaksubj","wreck","_vb"
"4890","wrangle","verb","y","strongsubj","wrangl","_vb"
"4892","wrest","verb","y","strongsubj","wrest","_vb"
"4893","wrestle","verb","y","weaksubj","wrestl","_vb"
"4898","writhe","verb","y","weaksubj","writh","_vb"
"4906","yawn","verb","y","strongsubj","yawn","_vb"
"4907","yelp","verb","y","strongsubj","yelp","_vb"
